Address,Section,Parking,Link,Name,Latitude,Longitude,Additional Info
서울특별시 양천구 지양로 47 ,양천,"해맞이 공영주차장 이용
5분당 50원 
월 주차요금 : 50,000원",https://www.ycs.or.kr/fmcs/21,신월문화체육센터 수영장,37.5198556644912,126.835064922695,
서울특별시 서초구 양재동 126-1,서초,매헌시민의 숲 공영주차장 이용,-,양재천수영장,37.4734587902563,127.035746289175,
서울특별시 양천구 목동동로 87 ,양천,주차 가능 (33면),https://www.ycs.or.kr/fmcs/17,양천구민체육센터 수영장,37.516476216081,126.864410610734,
서울특별시 강남구 논현로64길 7 ,강남,대중 교통 이용 권장,http://www.gyyc.kr/,역삼청소년센터,37.4939744309412,127.040911971373,
서울특별시 서초구 동산로 13길 35,서초,"회원의 경우,
1종목 150분 / 2종목 180분 무료 주차
5분 초과당 150원
",http://www.eonnamcscenter.com/%EC%88%98%EC%98%81,언남문화체육센터 수영장,37.4723300184587,127.043005236379,
서울특별시 강남구 삼성로135길 42 ,강남,회원에 한해 최대 150분 무료,-,언북문화체육센터,37.520125172379,127.044715764538,
서울특별시 영등포구 여의동로 330,영등포,"여의도한강공원 1~5주차장 이용 (1,791면)
최초 30분 2,000원, 초과 10분당 300원",https://hangang.seoul.go.kr/archives/46758,여의도한강공원 수영장,37.5263474738219,126.933595431713,
서울특별시 성동구 무수막길 69 ,성동,인근 공영주차장 이용,https://sports.happysd.or.kr/fmcs/57,열린금호교육문화관 수영장,37.5518979414195,127.020752859362,
서울특별시 영등포구 신풍로 1,영등포,"주차 가능 (69면) 
프로그램 이용 회원은 2시간 무료",http://www.y-sisul.or.kr/mod.asp?m=business&s=a01,영등포 제1스포츠센터,37.5005420689346,126.906305034633,
서울특별시 영등포구 신풍로 1 ,영등포,"주차 가능 (69면) 
프로그램 이용 회원은 2시간 무료",http://www.y-sisul.or.kr/mod.asp?m=business&s=a01,영등포 제1스포츠센터 골프연습장,37.5005420689346,126.906305034633,
서울특별시 영등포구 신풍로 1 ,영등포,"주차 가능 (69면) 
프로그램 이용 회원은 2시간 무료",http://www.y-sisul.or.kr/mod.asp?m=business&s=a01,영등포 제1스포츠센터 수영장,37.5005420689346,126.906305034633,
서울특별시 영등포구 국회대로 615 ,영등포,"주차 가능 (48대)
프로그램 이용회원은 2시간 무료주차",https://www.y-sisul.or.kr/ydps/main_intro.mir,영등포 제2스포츠센터 수영장,37.5266924348156,126.902731373207,
서울특별시 강동구 고덕로 285 ,강동,"5분당 250원
강습 회원의 경우, 
이용 프로그램에 따라 2~3시간 이내 무료
(초과 시 5분당 250원)",https://www.igangdong.or.kr/page/ch/ch_0101.asp,온조대왕문화체육관 수영장,37.5567272009253,127.157453945306,
서울특별시 송파구 올림픽로 424 ,송파,"- 소형 : 10분당 600원 / 대형 : 12,000원
- 20분 이내 출차 시 무료
- 강습 요일에 한해 월회원 주차 무료 
(1종목 : 5시간, 2종목 이상 : 최대 10시간)",http://sports.ksponco.or.kr/index.es?sid=a3,올림픽공원 수영장,37.5203396980951,127.115517876627,
서울특별시 종로구 성균관로 91,종로,"- 회원 : 프로그램 이용시간 +1시간 무료, 이후 5분당 400원 
- 비회원 : 5분당 400원",http://www.ijongno.co.kr/m/program/listPgm/11/01,올림픽기념국민생활관 수영장,37.5904890244178,126.998780325237,
서울특별시 용산구 백범로 350 ,용산,"주차 가능 (21면)
강습시간만 주차 가능
승용차 요일제 및 타시도 차량 끝번호제 운영",https://www.yong-san.or.kr/site/main/content/culture_02,용산문화체육센터 수영장,37.537241925875,126.967627844336,
서울특별시 용산구 이촌로71길 24 ,용산,"주차 가능 (1층)
주차장이 협소하므로 대중교통 이용 권장",https://yongsanyouth.or.kr/mber/home/ythCtrHome.do,용산청소년센터 수영장,37.5213567033653,126.973298153783,
서울특별시 노원구 월계로 298 ,노원,주차 가능 (62면),https://www.nowonsc.kr/fmcs/82,월계구민체육센터 수영장,37.6266321443905,127.054734189317,
서울특별시 은평구 진관1로 40  ,은평,주차 가능 (71면),https://www.efmc.or.kr/fmcs/8,은평구민체육센터 수영장,37.6304407253603,126.923581252389,
서울특별시 은평구 백련산로4길 16,은평,주차 가능,http://www.woori1318.or.kr/,은평청소년센터 수영장,37.5942157413413,126.924544209302,
서울특별시 은평구 통일로 767,은평,홈페이지 참고,https://www.eptsports.or.kr/fmcs/161,은평청여울수영장,37.6139964990436,126.926499742667,
서울특별시 은평구 통일로 1045 ,은평,"2시간 주차 무료
회원에 한해 지하 1층 주차장 이용 가능
주차장이 협소하므로 대중교통 이용",https://www.ep.go.kr/www/contents.do?key=1425,은평통일로스포츠센터 수영장,37.6358221607447,126.916447098947,
서울특별시 송파구 올림픽로 25,송파,"02-421-3126, 3172 참고",https://stadium.seoul.go.kr/about/jsswim2,잠실 제2수영장,37.5161987797456,127.075940589715,
서울특별시 송파구 올림픽로 25,송파,전화문의,https://stadium.seoul.go.kr/about/jsswim2,잠실제2수영장,37.5161987797456,127.075940589715,
서울특별시 송파구 올림픽로 25 ,송파,잠실종합운동장 주차장 이용,https://stadium.seoul.go.kr/reserve/jamsil/swim1,잠실종합운동장 제1수영장,37.5161987797456,127.075940589715,
서울특별시 송파구 올림픽로 25 ,송파,학생체육관주차장 이용,https://stadium.seoul.go.kr/reserve/jamsil/swim1,잠실학생수영장,37.5161987797456,127.075940589715,
서울특별시 송파구 한가람로 65,송파,한강공원 내 주차장 이용,https://hangang.seoul.go.kr/archives/46639,잠실한강공원 수영장,37.5176288053129,127.086737282438,
서울특별시 서초구 잠원로 145-57,서초,"잠원한강공원 내 주차장 이용
최초 30분 1,000원, 초과 10분당 200원",https://hangang.seoul.go.kr/www/contents/774.do?mid=505,잠원한강공원 수영장,37.5186167112378,127.007942107601,
서울특별시 종로구 지봉로5길 7-5 ,종로,"- 회원 : 프로그램 이용시간 +1시간 무료, 이후 5분당 400원 
- 비회원 : 5분당 400원",https://www.ijongno.co.kr/fmcs/32,종로구민회관 수영장,37.5735002829862,127.01436607091,
서울특별시 종로구 인왕산로1길 21 ,종로," - 회원 : 프로그램 이용시간 +1시간 무료, 이후 5분당 400원 
- 비회원 : 5분당 400원",https://www.ijongno.co.kr/fmcs/44,종로문화체육센터 수영장,37.5742098160357,126.964661018954,
서울특별시 광진구 능동로 433 ,광진,주차 가능 (54면),https://booking.gwangjin.or.kr/fmcs/50,중곡문화체육센터 수영장,37.5677837935775,127.084431278843,
서울특별시 중랑구 신내로 15길 189 ,중랑,"면적 273평 (36대 주차 가능)
회원 3시간 무료 / 비회원 30분당 1,000원",https://www.jungnangimc.or.kr/html/01010100,중랑구민체육센터 수영장,37.6151822136345,127.087481915118,
서울특별시 중랑구 사가정로72길 47 ,중랑,51대 주차 가능 (장애인 주차 2대 포함),https://www.jungnangimc.or.kr/html/01020100,중랑문화체육관 수영장,37.5793003913518,127.095770883838,
서울특별시 동대문구 장안벚꽃로 214,중랑,"홈플러스 면목점 B동 주차 후, 매표소에서 주차권 발권 / 겸재로 2길 거주자 우선 주차 구역 이용 (36면) ",https://www.jungnang.go.kr/portal/main/contents.do?menuNo=201080,중랑워터파크,37.5789927265671,127.076471193323,
서울특별시 노원구 상계동 770-6,노원,"노원 마들스타디움 이용
수영장 이용 고객은 4시간에 3,000원",https://www.jungnangimc.or.kr/lecture/list/JUNGNANG12,중랑천워터파크,37.64466228084,127.056497353853,
서울특별시 도봉구 노해로 69길 132 ,도봉,"주차 가능 (총 149면)
회원 : 3시간 무료
비회원 : 5분당 250원 (20분 내 회차 가능)
월 정기권 : 30,000원",http://www.dobongsiseol.or.kr/index_sport.html,창동문화체육센터 수영장,37.6581173975205,127.05070532949,
서울특별시 마포구 백범로 1길 56,마포,"창천 공영주차장 이용
이용 회원에 한해 2시간 30분 무료",http://www.korspo.co.kr/changcheon.php ,창천교육문화관 수영장,37.5549178201995,126.939295148137,
서울특별시 중구 다산로 170,중구,주차 공간이 협소하므로 대중교통 이용,http://www.korspo.co.kr/cheonggu.php ,청구교육문화관 수영장,37.5591166793514,127.013724413955,
서울특별시 강남구 광평로 185 ,강남,주차 무료 (92면),https://www.taiwha.or.kr/ ,태화기독교사회복지관,37.4848291050641,127.093396177577,
서울특별시 마포구 월드컵북로 38길 21,마포,주차 가능,https://woojin.sen.sc.kr/,한국우진학교 스포츠센터,37.5711229235175,126.903842945819,
서울특별시 중구 퇴계로 12길 78 ,중구,"1종목 : 2시간 무료, 10분 초과당 500원
2종목 : 4시간 무료, 10분 초과당 500원
* 일일입장 이용 시 2시간 무료",https://www.e-junggu.or.kr/fmcs/59,회현체육센터,37.5560315749818,126.981637818762,
서울특별시 중구 퇴계로 12길 78 ,중구,"1종목 : 2시간 무료, 10분 초과당 500원
2종목 : 4시간 무료, 10분 초과당 500원
* 일일입장 이용 시 2시간 무료",https://www.e-junggu.or.kr/fmcs/59,회현체육센터 수영장,37.5560315749818,126.981637818762,
서울특별시 용산구 효창원로 146-12 ,용산,주차 가능 (17면),https://www.hyochang.or.kr:6017/,효창종합사회복지관 수영장,37.5411436404796,126.963101106665,
서울특별시 동작구 동작구 현충로 73 ,동작,"주차 가능 (36면)
강습 회원 3시간 무료
초과시 5분당 250원",https://www.idongjak.or.kr/html/facility/facility01_01_01.php,흑석체육센터 수영장,37.5100551187106,126.963446342285,
